from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5931307;423;29619;121;77;28257;136;117;34099;157;126;41217;54;34700;48;34700;31
5785641;5931307;386;27003;118;74;25652;142;120;34305;164;128;33041;55;34911;47;34911;31
5785642;5931307;387;27082;118;74;25652;146;122;34422;164;130;33158;55;34312;47;32535;31
5785643;5931307;391;27375;114;72;27286;159;126;34715;164;134;33451;55;36404;47;36406;31
5787544;5931307;416;29130;118;75;27717;133;110;33609;145;119;40728;53;34274;47;34274;30
5787545;5931307;417;29199;118;75;27717;133;111;33678;145;120;40797;53;34560;47;34560;30
5787546;5931307;420;29425;118;75;27717;136;114;33904;157;123;41022;54;33338;47;31562;31
5787547;5931307;384;26889;118;74;25652;151;127;34804;162;135;33540;54;33729;47;31953;31
5787548;5931307;381;26664;118;74;25652;148;123;34531;160;131;33267;55;33851;47;32074;31
5787549;5931307;383;26798;118;74;25652;151;128;34823;161;136;33559;55;34094;47;32317;31
5787550;5931307;396;27710;114;72;27286;162;123;39594;162;119;41581;55;36203;47;36205;31
5789447;5931307;377;26363;107;67;24955;94;71;30842;110;81;37961;49;32084;43;32084;27
5789448;5931307;377;26360;107;67;24952;94;71;30863;110;81;37981;50;32449;43;32449;27
5789449;5931307;377;26420;107;68;25088;94;72;30924;110;82;38042;51;32875;44;32875;28
5789450;5931307;420;29366;107;68;25088;136;114;33846;157;123;40964;51;33193;44;33193;28
5789451;5931307;420;29404;118;75;27717;136;114;33884;157;123;41002;53;34521;47;34521;30
5789452;5931307;376;26325;118;75;27717;148;122;31398;153;131;35431;54;33237;46;31461;30
5789453;5931307;377;26361;118;74;25652;148;122;31434;153;131;35468;54;33414;47;31638;31
5789454;5931307;378;26448;118;74;25652;148;123;31521;155;132;35555;54;33678;47;31902;31
5789455;5931307;380;26625;114;72;27319;153;126;31697;160;134;30433;55;33899;47;32122;31
5789456;5931307;394;27549;114;72;27319;156;121;39433;162;117;41420;57;36113;50;36115;35
5791353;5931307;382;26723;110;70;26005;96;76;31202;116;86;38321;49;31674;43;31674;27
5791354;5931307;378;26491;106;67;24798;94;73;30970;116;83;38088;50;32266;44;32266;28
5791355;5931307;372;26014;106;67;24710;88;68;30631;110;78;37750;50;32446;44;32446;27
5791356;5931307;373;26075;105;67;24658;94;73;30979;116;83;38098;51;33071;45;33071;28
5791357;5931307;374;26163;107;68;25088;96;75;31048;116;85;38166;51;33185;44;33185;28
5791358;5931307;374;26214;107;68;25088;144;120;31286;150;129;35320;51;32732;44;30955;28
5791359;5931307;372;26016;107;68;25088;140;117;31089;141;126;35123;54;33055;46;31279;30
5791360;5931307;372;26070;118;74;25652;142;118;31143;144;127;35177;54;33423;46;31647;30
5791361;5931307;377;26424;114;72;27319;148;123;31496;153;132;35530;54;33777;46;32001;30
5791362;5931307;382;26735;114;72;27319;153;128;31808;161;136;30544;55;34086;47;32309;31
5791363;5931307;393;27544;114;72;27319;156;121;39428;162;117;41415;57;36009;50;36011;35
5793258;5931307;387;27109;109;69;25755;105;81;31588;122;91;38706;51;32939;45;32939;28
5793259;5931307;383;26808;109;69;25699;100;77;31288;116;87;38406;50;32779;44;32779;28
5793260;5931307;383;26843;107;68;25285;100;78;31322;116;88;38441;50;32743;44;32743;28
